artist_name,book_name,profile_url,publisher_name,publisher_profile_url
Eric Tabuchi,Twenty Four Modern Lorraine Churches,https://photobookers.com/creators/eric-tabuchi,Poursuite Editions,https://photobookers.com/creators/poursuite-editions
Eric Tabuchi & Nelly Monnier,ALLER – RETOUR,https://photobookers.com/creators/eric-tabuchi--nelly-monnier,Poursuite Editions,https://photobookers.com/creators/poursuite-editions
Erik Gustafsson,A House of Clay,https://photobookers.com/creators/erik-gustafsson,Loose Joints,https://photobookers.com/creators/loose-joints
Erin O'Keefe,Built Work,https://photobookers.com/creators/erin-okeefe,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
Erinn Springer,Dormant Season,https://photobookers.com/creators/erinn-springer,Charcoal Press,https://photobookers.com/creators/charcoal-press
Farren van Wyk,Mixedness is my Mythology,https://photobookers.com/creators/farren-van-wyk,FW Books,https://photobookers.com/creators/fw-books
Felipe Romero Beltrán,Bravo,https://photobookers.com/creators/felipe-romero-beltran,Loose Joints,https://photobookers.com/creators/loose-joints
Fred Waldvogel,Pilze,https://photobookers.com/creators/fred-waldvogel,Jungle Books,https://photobookers.com/creators/jungle-books
Frida Lisa Carstensen Jersø,Frida Forever,https://photobookers.com/creators/frida-lisa-carstensen-jers,DISKOBAY,https://photobookers.com/creators/diskobay
Gabriele Galimberti,THE AMERIGUNS,https://photobookers.com/creators/gabriele-galimberti,SkinnerBoox,https://photobookers.com/creators/skinnerboox
Gabriele Harhoff,Tobiko,https://photobookers.com/creators/gabriele-harhoff,,
Gaia Maggio,TERRA DI DIATOMEE,https://photobookers.com/creators/gaia-maggio,SkinnerBoox,https://photobookers.com/creators/skinnerboox
Giulia Ferranti,<3,https://photobookers.com/creators/giulia-ferranti,SkinnerBoox,https://photobookers.com/creators/skinnerboox
Greer Lankton,Could It Be Love,https://photobookers.com/creators/greer-lankton,Magic Hour Press,https://photobookers.com/creators/magic-hour-press
Greg Girard,Hotel Okinawa,https://photobookers.com/creators/greg-girard,The Velvet Cell,https://photobookers.com/creators/the-velvet-cell
Hannah Hughes,Mirror Image,https://photobookers.com/creators/hannah-hughes,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
Hannah Modigh,Searching for Sivagami,https://photobookers.com/creators/hannah-modigh,Kult Books,https://photobookers.com/creators/kult
Hans Gremmen,In Between,https://photobookers.com/creators/hans-gremmen,FW Books,https://photobookers.com/creators/fw-books
Hans-Christian Schink,Along the Path,https://photobookers.com/creators/hans-christian-schink,Hartmann Books,https://photobookers.com/creators/hartmann-books
Harri Pälviranta,Battered,https://photobookers.com/creators/harri-palviranta,Kult Books,https://photobookers.com/creators/kult
Harvey Stein,Then and There: Mardi Gras 1979,https://photobookers.com/creators/harvey-stein,Zatara Press,https://photobookers.com/creators/zatara-press
Henri Airo,Probable Cause,https://photobookers.com/creators/henri-airo,Kult Books,https://photobookers.com/creators/kult
